category,name,forkedFrom,tvl,chain
Dexes,RocketSwap,['Uniswap V2'],27241.436558660414,Lamden
Yield,White Whale,,26919.72036977878,Terra
Yield,Diamond Protocol,,26766.688714779833,Multi-Chain
Dexes,CantoSwap,['Uniswap V2'],26639.841699407763,Canto
Lending,Coslend,['Compound'],26399.280432,Evmos
Dexes,BullionFX,,26332.104064,Ethereum
Dexes,FairySwap V1,['Uniswap V2'],25744.33764849715,Findora
Yield,Stabl.fi V2,['Origin Dollar'],25724.855225569125,Polygon
Derivatives,Satori Finance,,25701.65021,Polygon zkEVM
Services,Rigoblock,,25648.814457504915,Multi-Chain
Yield Aggregator,Canary,['Uniswap V2'],25286.14296949432,Avalanche
Algo-Stables,XUSD Money,['Frax'],25119.212264754664,Ethereum
Dexes,LeetSwap,['Uniswap V2'],25054.086112345714,Multi-Chain
Lending,Wild Credit,,24784.434962175324,Ethereum
Dexes,CobraSwap,['Uniswap V2'],24676.065221976307,Binance
Dexes,Surfswap Classic,['Uniswap V2'],24517.411915190234,Kava
Dexes,Hydradex V2,['Uniswap V2'],24412.53556259097,Hydra
Yield Aggregator,Mushrooms Finance,['Yearn Finance'],24138.33261876479,Multi-Chain
Yield,Liquid Bolt,,23785.307600628137,Multi-Chain
Dexes,Hpdex,['Uniswap V2'],23771.774079191207,HPB
Yield Aggregator,Cycle Finance,['Yearn Finance'],23759.328599398243,Avalanche
Services,YFDAI,,23711.962850309217,Ethereum
Lending,OrcaDAO,,23684.172242309236,Avalanche
Dexes,MacaronSwap,,23618.026509725772,Multi-Chain
Dexes,LeonicornSwap,['Uniswap V2'],23367.13733993263,Binance
Yield Aggregator,LuxsFi,,23312.896026997347,Multi-Chain
Derivatives,PairEx,,23259.944680315773,Arbitrum
Lending,Hodltree,,23161.838191114814,Multi-Chain
Yield,YSL.IO,,22483.55187854481,Binance
Yield Aggregator,Electrik Finance,['Beefy'],22439.321409,Klaytn
Farm,Dark Matter,['Goose Finance'],22349.16230134095,Fantom
Dexes,MM Stableswap,['Curve'],22194.629134667837,Cronos
Dexes,UniFi,,21998.41149979125,Multi-Chain
Privacy,Sherpa Cash,,21978.4,Avalanche
Dexes,Swapline,['Trader Joe DEX'],21806.865002712137,Multi-Chain
Liquidity manager,Universe Finance,,21795.30732677792,Multi-Chain
Dexes,Tangent,,21715.86063428576,Hedera
Dexes,Derify Protocol,,21657.997913009767,Binance
Yield,Oh Finance,,21495.405766737986,Multi-Chain
Dexes,SwapperChan,['Uniswap V2'],21423.769889750693,Boba
Dexes,Yapeswap,['Uniswap V2'],21376.61093211689,Ethereum
Dexes,KokomoSwap,['Uniswap V2'],21297.792399067177,Binance
Dexes,Astar Exchange V2,['Uniswap V2'],21280.347752007594,Astar
Yield,Dapp Account DAO,,21091.74266187,EOS
Lending,OCP Finance,['Compound'],21023.185673464155,Binance
Dexes,Dexter Exchange,,21005.980592652853,Tezos
Gaming,MiningTycoon,,20971.1507,Binance
Dexes,CoFiX,,20964.622346893302,Ethereum
Dexes,Cykura,,20592.288804168078,Solana
Yield,BeefStake,['Viva'],20431.16504994843,Vite
Dexes,1Swap,['Saddle Finance'],20417.244672944802,Moonriver
Dexes,SkullSwap V3,['Algebra DEX'],20243.642260484958,Fantom
Leveraged Farming,Aperture Finance,,20191.0,Multi-Chain
Dexes,PonySwap,['Uniswap V2'],19989.86107104456,Arbitrum
Lending,Atlantis Loans,['Compound'],19933.693494433486,Multi-Chain
Yield,Manhattan,,19879.873650973357,Multi-Chain
NFT Lending,X2Y2,,19875.444112400004,Ethereum
Farm,Panda Chef,,19871.50204145462,Binance
Dexes,LootSwap,['Uniswap V2'],19860.12025700696,Harmony
Derivatives,Vanilla,,19808.492483406808,Ethereum
Yield,2Pi Network,,19530.054617695398,Multi-Chain
Indexes,Amun,,19329.680665547978,Multi-Chain
Dexes,Kapinus,['Uniswap V2'],19277.652877360935,Binance
Synthetics,Klondike Finance,,19223.143300570046,Ethereum
Dexes,RobiniaSwap,,19212.912888642913,Binance
Yield,Kimberlite,,19092.41349145213,Multi-Chain
Dexes,WhaleSwap,['Uniswap V2'],18910.944115537277,Multi-Chain
Dexes,ABcDeFX,['Solidly'],18892.9625318739,Multi-Chain
Derivatives,FXDX,,18875.08809472973,Optimism
Dexes,FairySwap V2,['Uniswap V2'],18846.653078000625,Findora
Dexes,zkMoonSwap,['Uniswap V2'],18817.933266462744,Polygon zkEVM
Lending,CHFRY Finance,,18688.6350857,Ethereum
Yield,Genesys,,18215.136389279152,Fantom
Indexes,Investin,,18024.107371016526,Solana
Dexes,GoSwap,['Uniswap V2'],17753.13507895835,GoChain
Indexes,Etherberry Finance,['Agility LSD'],17623.895436963696,Arbitrum
Dexes,Heraswap,['Uniswap V2'],17587.17095553869,Onus
Lending,Vee Finance,['Compound'],17584.161107961652,Multi-Chain
Yield,BooFinance,,17499.28816137664,Avalanche
Dexes,GaloSwap,,17475.217418773835,zkSync Era
Derivatives,Predy V2,,17290.718490968,Arbitrum
Dexes,Alium Swap,['Uniswap V2'],17094.779394412915,Binance
Dexes,PartySwap,['Uniswap V2'],17058.936336596704,Avalanche
Dexes,JioSwap,['Saddle Finance'],16979.871478881632,Multi-Chain
CDP,Piggy,['Liquity'],16975.05020751839,Binance
Algo-Stables,Blindex,['Frax'],16974.248592862434,RSK
Yield,Stacker Ventures,,16848.399734076895,Ethereum
Dexes,Fuzz Finance,['Uniswap V2'],16651.88861911555,Harmony
Dexes,Cronus Finance,['Uniswap V2'],16615.832210778422,Evmos
Dexes,Wojak Finance,['Uniswap V2'],16564.722752585018,Dogechain
Yield Aggregator,Bank of Chain,,16507.938046363735,Ethereum
Yield,SleepEarn Finance,,16496.759999999995,Kardia
Yield Aggregator,Dex Finance,,16484.1894998939,Binance
Yield,CashCow Protocol,,16305.671954564472,Binance
Dexes,Moonbase Alpha,['Uniswap V2'],16247.196723488049,Arbitrum
Dexes,Deflex,,16208.570633495423,Algorand
Yield,Solyard,,16083.168945819987,Solana
Dexes,Symphony Finance,,16055.275689304954,Multi-Chain
Dexes,MyTrade,['Uniswap V2'],15934.437999294432,Multi-Chain
Dexes,FlashLiquidity,['Uniswap V2'],15933.597601278845,Multi-Chain
Yield,Croblanc,,15747.076415016198,Cronos
Dexes,FreeRiver,['Uniswap V2'],15689.005520070028,Moonriver
Lending,Fuji V2,,15232.591303567795,Multi-Chain
Dexes,1BCH,['Uniswap V2'],14951.101745359672,smartBCH
CDP,LaDAO Xocolatl,,14882.76567919335,Multi-Chain
