category,name,forkedFrom,tvl,chain
Yield,Robo-Advisor for Yield,,2826.2600564070317,Ethereum
Dexes,ZigZag,,2821.8612006325648,Arbitrum
Lending,Tropykus zkEVM,['Aave'],2804.7142147,Polygon zkEVM
Dexes,IFSwap,['Uniswap V2'],2751.3171362994317,CSC
Yield,Summit Defi,,2625.250788492365,Fantom
Dexes,InfiniTORR,['Uniswap V2'],2620.2489915574797,Bittorrent
Liquidity manager,Revert V3 Staker,,2608.968117294055,Polygon
Yield Aggregator,Superman Swap,,2524.7603096566127,Binance
CDP,UWU Protocol,,2521.20640668,Stacks
Derivatives,Syrup Finance,['GMX'],2514.042942027484,Binance
Algo-Stables,Nava finance,['Tomb Finance'],2497.823373115303,REI
Dexes,SmolSwap,['Uniswap V2'],2395.604159434198,Cronos
Dexes,AGS Finance,['Uniswap V2'],2388.058571667209,Astar
Algo-Stables,ChargeDeFi,,2381.08139195241,Binance
Lending,Chee Finance,['Compound'],2374.689456280068,Multi-Chain
Dexes,FunBeast,['Uniswap V2'],2312.7632189673027,Astar
Dexes,HipPoWSwap,['Uniswap V2'],2302.5361096394727,EthereumPoW
Yield,The Seed Farm,,2289.518752294377,Avalanche
Yield,OctoLSD,,2257.8704299533947,Ethereum
Yield,FireDAO,"['Yearn Finance', 'Compound']",2240.1813061430908,Ethereum
Dexes,zkEVMSwap,['Uniswap V2'],2217.9964294905103,Polygon zkEVM
Dexes,SkullSwap V2,['Uniswap V2'],2201.6478031424,Fantom
Dexes,Dove Swap V2,['Uniswap V2'],2183.106199225652,Polygon zkEVM
Dexes,DefySwap,['Uniswap V2'],2128.1390055515144,Multi-Chain
Yield,Hermes Defi,,2121.8223703292015,Harmony
NFT Marketplace,Pinyottas,,2043.2785858748553,Ethereum
Farm,Nightmare Finance,['Goose Finance'],1992.9722759330975,Fantom
Dexes,Oaswap,['Uniswap V2'],1941.7805112728875,Oasis
Launchpad,zkBoost,,1931.0221563431164,zkSync Era
Yield,X Blue Finance,,1914.4705569869855,Arbitrum
Yield,LowcostSwap,['Goose Finance'],1891.0095175684633,Binance
Reserve Currency,Hotfriescoin,,1862.4052882340438,Binance
Yield,Avaware,,1859.6796066767731,Avalanche
Payments,Parallel DAOfi,,1800.78,Multi-Chain
CDP,North Pole,['Abracadabra'],1794.2002408856122,Avalanche
Services,Kimochi,,1785.1458934183572,Binance
Yield Aggregator,Scion Finance,,1767.636308,Multi-Chain
Dexes,OBSwap,,1760.8631470707703,EOS
Services,TrustSwap,,1723.195563,Ethereum
Dexes,Yumiswap,['BabySwap'],1701.1437882103066,Astar
Farm,Phantom Finance,['Goose Finance'],1700.4082214869345,Fantom
Yield Aggregator,Unbanked,['Yearn Finance'],1686.5830463792365,Fantom
Dexes,ProtossDex,['Uniswap V2'],1686.211019663138,Starknet
Yield,Unamano,,1677.311452078112,Ethereum
Reserve Currency,KronosDAO,,1672.3173948399158,Binance
Dexes,SweetSwap,['Uniswap V2'],1627.2806675948032,Dogechain
Algo-Stables,Pillar,,1610.97268996608,Zilliqa
Yield,LemonSwap,,1597.0503261980816,Binance
Yield,Artemis Protocol,,1556.2338096817064,Harmony
Yield,OptiNyan,['ArbiNYAN'],1538.7702,Optimism
Dexes,Kasava Dex,['Uniswap V2'],1513.6975915488085,Kava
Dexes,Waterfall DEX,,1506.4746297751608,Arbitrum
Dexes,Jupiter Swap,['Uniswap V2'],1498.9640354725068,Kava
Payments,Kivach,,1456.2177699789825,Obyte
Dexes,Genesis Finance,['Uniswap V2'],1430.830415489204,Cronos
Dexes,TendieSwap,['Uniswap V2'],1430.1115994578786,Binance
Yield,Cronofi Finance,,1415.780645821954,Cronos
Dexes,KDex,['Uniswap V2'],1400.6999999999998,Kava
Dexes,HonkSwap,['Uniswap V2'],1368.926354408702,smartBCH
Reserve Currency,Photon Protocol,['Olympus DAO'],1356.381353904925,Binance
Reserve Currency,SpiritDAO,['Olympus DAO'],1334.1315945714805,Avalanche
Farm,LIFE,['Goose Finance'],1330.5030975094542,Fantom
Indexes,Helios Prime,,1319.5846703990105,Ethereum
Services,MintSwap,,1313.6346488116942,Avalanche
Dexes,SwapMatic,['Uniswap V2'],1299.7397956622433,Polygon
Yield,Lavafall,,1291.2120680649261,Fantom
Yield Aggregator,Monolith,['Solidex'],1279.9488848042274,Ethereum
Yield,Cupid Farm,['Morpheus Swap'],1255.9368760533032,Fantom
Yield,Bring.Finance,,1245.4247900509843,Multi-Chain
Algo-Stables,Savanna Finance,['Tomb Finance'],1225.4729464869185,Cronos
NFT Lending,XCarnival,,1213.7560242253228,Ethereum
Dexes,CoreSwap,['Uniswap V2'],1200.3794577555864,CORE
Dexes,OpenBiSea,['Uniswap V2'],1188.6420745743167,Multi-Chain
Dexes,BrightSide,['Uniswap V2'],1184.4537108916722,Milkomeda A1
Yield Aggregator,AutoBark,,1165.6962029985848,Dogechain
Yield,Zeus Finance,,1152.5518287896218,Cronos
Dexes,Hamburger Finance,['Solidly'],1151.719754176112,Arbitrum
Derivatives,Pegasus Finance,,1137.7191500301712,Optimism
Yield,Meowswap,,1130.3902490185674,Binance
Dexes,Koyo Finance,['Balancer'],1123.411378861585,Boba
Farm,DogePup,,1121.5500474673565,Dogechain
Farm,Mockingbird,['Goose Finance'],1113.1354060896406,Fantom
Dexes,DarkSwap,['Uniswap V2'],1110.6209481432008,Dogechain
Options,Moret,,1095.943121,Polygon
Farm,Fruits of Ryoshi,,1091.6935986214994,Dogechain
Dexes,EOSWAP Finance,['Uniswap V2'],1090.7524272793642,EOS EVM
Prediction Market,SageBet,,1082.956337,Arbitrum
Lending,Chintai,,1074.006490805629,EOS
Dexes,Palma Swap,['Uniswap V2'],1033.864536907959,CORE
Derivatives,Phission Finance,['Synthetix'],1032.9299058324584,Ethereum
Dexes,PYEswap,['Uniswap V2'],1031.6267788827502,Binance
Yield,Dubble Exchange,,1027.784843,Arbitrum
Dexes,Defily Dex,['Uniswap V2'],1007.9676522907907,Onus
Farm,Unirex Finance,['Goose Finance'],1004.9018900310534,Fantom
Yield,Liquidrium,,1004.2704345739822,Multi-Chain
Dexes,Demodyfi,,1003.1563270945254,Multi-Chain
Privacy,Garble.Money,,1001.0,Tron
Services,SuperBots,,981.2014739420367,Multi-Chain
Yield,Avatr,,979.1728387134124,Ethereum
Dexes,TrainSwap,['Uniswap V2'],975.3815795458165,Arbitrum
Farm,Verified Credits,,973.038674,Kava
Lending,Stake1,,947.4380409268524,Fantom
Dexes,AuraSwap,['Uniswap V2'],907.8264566436005,Polygon
Yield,Meso Finance,,907.2115150566599,Fantom
Dexes,AliensFarm,['QuipuSwap'],907.022416870334,Tezos
Yield,Multi-Chain Miner,,905.11816810164,Multi-Chain
Yield,OakFarm,,884.8110436376585,OKExChain
Lending,Quickswap Lend,['Compound'],879.4780451524193,Polygon
Farm,Zinax DAO,,870.9056419517531,Binance
Dexes,SmartDEXBCH,,861.6116128901874,smartBCH
Lending,Augmented Finance,,855.3218216335556,Multi-Chain
Reserve Currency,Sierra,['Olympus DAO'],841.2888872579391,Avalanche
Yield,GrassLand Finance,,839.0410450419546,Polygon
Farm,ClaySwap,,838.3026536246408,Binance
Dexes,PowSea,['Uniswap V2'],822.9671852834078,EthereumPoW
Reserve Currency,PirateDAO,['Olympus DAO'],807.4609652525179,Avalanche
Farm,Squid-Defi,['Goose Finance'],806.3170368560473,Fantom
Yield,Swift Finance,,804.0929100976183,Avalanche
Algo-Stables,Grave Finance,['Tomb Finance'],802.7131431111375,Avalanche
Dexes,VampireSwap,['Uniswap V2'],770.2063829497397,Fantom
Dexes,Juggler Red,['Uniswap V2'],738.5570238909446,Optimism
Yield,UniverseFTM,,734.476887943277,Fantom
Yield,WaterDendy,,732.5667629164692,Arbitrum
Bridge,BridgeKek,,702.8799746523075,Multi-Chain
Yield,Polytrade,,690.76088,Polygon
Yield,GemMine,,689.595728661834,Fantom
Lending,Fenrir Finance,['Compound'],677.0200858503592,Binance
Dexes,Brise Swap,['Uniswap V2'],660.7972199122188,Bitgert
Dexes,Bubbleswap V2,['Uniswap V2'],626.7602378707946,Hedera
Lending,Metapoly,,620.840744,Multi-Chain
Dexes,MoonLift,['Uniswap V2'],615.7536745165772,Binance
Yield,Inbuilt Finance,,598.0545030000001,Kava
Yield,MyMine,,594.8018394645412,Fantom
Farm,Knights of Fantom,,584.3505235142771,Fantom
Launchpad,WeStarter,,573.7527291374063,Heco
Dexes,Stronghands,['Uniswap V2'],551.6351617963554,Multi-Chain
Lending,DeFiner,,547.6504703999789,Multi-Chain
Farm,Spectrumswap,['Goose Finance'],542.0306345181453,Binance
Derivatives,KMex,['GMX'],525.922266507295,Kava
Dexes,Zolidly Finance,['Solidly'],496.8021131860234,zkSync Era
Farm,BoneSwap,,473.31953644376114,Dogechain
Algo-Stables,GmCash,,455.1415001001841,Arbitrum
Dexes,ko.one,['Uniswap V2'],449.1942111957158,zkSync Era
Yield,Defi Yield Protocol,,448.2353335372154,Multi-Chain
Dexes,ChampagneSwap,['Uniswap V2'],446.64804189802254,Binance
Dexes,ZukeSwap,['Uniswap V2'],444.1626243937894,Loop
CDP,TomoFinance,,443.0,TomoChain
Liquid Staking,Starfish Liquid Staking,,436.7798633454,Astar
Yield Aggregator,DefiCurrent,['Beefy'],419.3341658707328,Multi-Chain
Lending,L2FINANCE,['Compound V3'],416.5566496148425,Arbitrum
Leveraged Farming,JBC.Finance,,410.40496192351327,Arbitrum
Farm,The Don Finance,['Goose Finance'],407.9926073770124,Fantom
Yield,Xray Swap,,397.8277643097448,Binance
Dexes,AfraSwap,['Uniswap V2'],388.2321380454806,Binance
Reserve Currency,SenpaiSwap,"['Olympus DAO', 'Uniswap']",381.427885257781,Boba
Dexes,MetaSwap,['Uniswap V2'],379.29653950016495,EOS EVM
Yield,JaguarSwap,,377.42446932134794,Arbitrum
Yield,ViveLaBouje,,372.10823323209485,Fantom
Dexes,ElonSwap,['Uniswap V2'],369.9884764881132,Dogechain
Dexes,Starbank,['Balancer'],365.0791761265572,Astar
Yield,JetMine DAO,,362.34687239045223,Fantom
Yield,Emerald Swap,,354.7489597436311,Binance
Lending,Evolve,['Tarot'],353.1995264370604,Cronos
Gaming,LazyFi,,352.66322659875755,Near
Reserve Currency,Gamblefi,['Wonderland'],351.0807155500927,Cronos
Dexes,Astar Exchange V3,['Uniswap V3'],347.957092102077,Astar
Yield,Caribou Finance,,347.8868649202053,Fantom
Dexes,Sahara Exchange,['Uniswap V2'],344.8867693307801,Oasis
Dexes,Bhavish Finance,,340.5103561323097,Polygon
Farm,TroyDefi,,338.3839617121185,Binance
Dexes,Octane Finance,,335.2517355480552,Binance
Dexes,KefirSwap,['Uniswap V2'],330.7875079074425,Kava
Liquid Staking,MFIL Protocol,,328.6738389342438,Filecoin
Algo-Stables,Wonderly Finance,['Tomb Finance'],311.2099628926319,Multi-Chain
Dexes,Beluga Protocol,,302.44576900000004,Solana
Dexes,Pandora Swap,['Uniswap V2'],302.3336605603314,Astar
Dexes,Solana Farm,['Uniswap V2'],299.3156451640178,Binance
Options,Risq Protocol,,297.1633509233672,Binance
Yield,Mirai,,295.4521032699965,Polygon
Lending,WaterLoan,['Aave'],292.0887248916158,Multi-Chain
Reserve Currency,Exodia,['Olympus DAO'],290.44199394573184,Fantom
Reserve Currency,cantOHM,,290.425292459508,Canto
Lending,0xLend,,290.351817,Kucoin
Yield,Tenet,,290.12513721392935,Multi-Chain
Yield,BastilleDeLaBouje,,288.84007584118467,Fantom
Dexes,JLSwap,['Uniswap V2'],286.6813105090105,EOS EVM
Reserve Currency,Asgard Dao,['Olympus DAO'],284.11650495495644,Binance
Yield Aggregator,Earnifty,['Beefy'],281.8964207534988,Velas
Dexes,Sugar Swap,,274.70804298288294,zkSync Era
Lending,Bank of Cronos Loans,['Liquity'],272.1552,Cronos
Dexes,SunFlower Finance,,269.578305786422,Binance
Yield,NumisMe,,266.7271615312933,Ethereum
Farm,NewSpace Finance,['Goose Finance'],253.40920079061385,Binance
Yield Aggregator,Just Yield,['Beefy'],252.88592944076797,Arbitrum
Lending,BencuFi,,250.97274602700298,Metis
Dexes,printyfinance,['Solidly'],247.32107985634696,Avalanche
Lending,DeerFi,,247.11032028946542,Ethereum
Reserve Currency,WagmiDAO,"['Uniswap V2', 'Olympus DAO']",240.40893604403306,Harmony
Yield,Ice Colony,,234.59302378056628,Polygon
Farm,SunflowerSwap,,230.17885560057567,Moonbeam
Dexes,Inuswap,['Uniswap V2'],224.50345853205084,Dogechain
Dexes,StableDoin,['Uniswap V2'],217.127477,Dogechain
Yield,BitANT,,213.9301,Optimism
Farm,ApeDAO,,211.29113789997075,Fantom
Lending,Omni Protocol,['Aave'],200.6287872750978,Ethereum
Dexes,Goat Swap,,195.04809819150003,Solana
Farm,Xmas Past,,183.86808910709897,Fantom
Dexes,Frog Swap,['Uniswap V2'],179.08380370319856,Kekchain
Yield,MapleDeFi,,175.81105656352128,Binance
Dexes,S Finance,,174.67358595146962,Ethereum
Lending,Bitlend,['Compound'],170.48436030691084,Bittorrent
Algo-Stables,Coffin Finance,,169.0916693078372,Fantom
Yield,BabyPig Finance,,165.1136977637998,Fantom
Yield,CexDex,,161.0,Kava
Derivatives,Deridex,,158.720943,Algorand
Dexes,Adena Finance,['Uniswap V2'],157.95226415324836,Harmony
Gaming,CatsApes,,153.975,Kava
Lending,Bodh Finance,['Compound'],149.46607829277238,Boba
Dexes,EggTartSwap,['Uniswap V2'],147.60566846721727,Harmony
CDP,Defi Halal,['Liquity'],135.19281028025264,Polygon
Yield Aggregator,MetaCrono,,133.14987401897918,Cronos
Dexes,Philetairus Socius,['Uniswap V2'],131.2865491495177,Fantom
Dexes,AtoDEX,,126.11392373339999,Aptos
Dexes,Dogium Farm,['Uniswap V2'],123.94742579716495,Dogechain
Derivatives,NEX,['GMX'],123.68181014376476,Multi-Chain
Dexes,KekSwap,['Uniswap V2'],121.70107366877178,Kekchain
Dexes,PanKUKU,['Uniswap V2'],116.73232869079663,Binance
Yield,CyberFantasyFembots,,115.99350113218644,Polygon
Yield,The Dragon's Lair,,115.77409934667367,Avalanche
Farm,The Story of Draco,['Goose Finance'],115.72482106922803,Fantom
Synthetics,Zest Protocol,,115.5834607501803,Fantom
Yield Aggregator,Traddify Arbitrage,,111.022583808,Kava
Dexes,CakeWSwap,['Uniswap V2'],110.28852351664008,EthereumPoW
Dexes,Liquify,['Solidly'],103.5074303789694,CORE
NFT Marketplace,NFT360,,100.0,Kava
Algo-Stables,Milky Cow,,97.07014139547312,Milkomeda
Lending,DeFIL,,92.96944384124511,Multi-Chain
Algo-Stables,ShiftDollar,['Tomb Finance'],91.719234,Cronos
Dexes,ApexSwap,['Uniswap V2'],84.47480245200636,Avalanche
Reserve Currency,Life DAO,['Olympus DAO'],84.17107256726177,Avalanche
Gaming,Rising Undead,,79.75,Kava
Reserve Currency,MoonDao,['Olympus DAO'],77.14927309862075,Moonriver
Gaming,DogeClaw,,76.57632269061875,OKExChain
Farm,WTFDOGE,,75.73205142981297,Dogechain
Yield,Hotpot Finance,,75.06268799362684,Binance
Yield,Feeder Finance,,67.42261662755767,Multi-Chain
Yield Aggregator,Doge Compounder,['Beefy'],66.78560770399989,Dogechain
Options Vault,Silo Protocol,,63.809430911784006,Algorand
Algo-Stables,Ruby Finance,['Tomb Finance'],63.600514568159376,Kava
Dexes,1Pulse,['Uniswap V2'],61.29099494282251,Pulse
Farm,Procyon,,61.04309344433879,Cronos
Lending,BaksDAO,,60.68923354471892,Binance
Reserve Currency,MiniPanther DAO,['Olympus DAO'],59.88772868905915,Fantom
Lending,Flux Protocol,,58.9531758297734,Multi-Chain
Options Vault,TruFin,,58.28882605743038,Ethereum
Lending,Soda Protocol,,55.909461636128015,Solana
Dexes,Astarnova,['Uniswap V2'],52.003764,Astar
Yield,Doora Inu,,50.80335629158081,Arbitrum
Lending,Owna,,50.082867,Polygon zkEVM
Yield,Stablz,,49.591,Ethereum
Reserve Currency,Amogus DAO,['Olympus DAO'],44.874961157535864,Avalanche
Reserve Currency,Vortex DAO,['Olympus DAO'],43.45886252683565,Avalanche
Dexes,KSwap,['Uniswap V2'],43.29964885521019,Kava
Yield Aggregator,Stakerz,['Beefy'],42.19,Kava
Yield,AvaViking,,42.184310440688634,Avalanche
Dexes,zkDefi,['Uniswap V2'],36.659428921080845,Polygon zkEVM
Farm,Camel Farm,,35.63574,Arbitrum
Dexes,StrikeX,,35.28610918669235,Binance
Yield,Defi Master,,35.02903454682179,Arbitrum
Yield,Ketchup Finance,['Goose Finance'],31.301525942342813,Binance
Dexes,KapaSwap,['Uniswap V2'],31.191016668025604,Kava
Lending,SSAP,['AAVE'],30.6868106963897,Multi-Chain
Indexes,Securo Finance,,30.420334999438968,Multi-Chain
Privacy,Spiral Fi Mixer,,30.0,Multi-Chain
Dexes,SeaLightSwap,['Uniswap V2'],26.582762681751966,Polygon
Algo-Stables,2omb Finance,['Tomb Finance'],25.83800520208108,Fantom
Farm,RubikFarm,,25.401557083749836,Binance
Yield,TreeHouse Finance,,24.08763548401021,Avalanche
Algo-Stables,ArbiTen,['Tomb'],23.743769705539176,Arbitrum
Farm,KafiDAO,,22.763220036439957,Kava
Lending,MilkyWay,['Compound'],22.620954553824003,Milkomeda
Services,weBribe DAO,,22.402437925950675,Fantom
Yield,Genius,,21.792927924617153,Multi-Chain
CDP,Milkomeda MACC,,19.340458025072003,Milkomeda
Farm,MixSwap Finance,['Goose Finance'],19.158926472008154,Binance
Dexes,NowSwap,['Uniswap V2'],18.689564228316645,Ethereum
Dexes,multiverse,,18.48973213620364,Kava
Yield,Veritable DAO,,18.06614782402216,Polygon
Yield,Coup Farm,,15.118528394768814,Avalanche
Farm,Spade Finance,['Goose Finance'],13.519716115250478,Fantom
Yield,Bouje Finance,,13.426978580155254,Fantom
Reserve Currency,Mama DAO,['Olympus DAO'],12.759237880843429,Polygon
Farm,FlatCoin DEX,,12.503065,Tron
Yield,Chad Finance,,12.297416245073775,Fantom
Dexes,AstroFi,['Uniswap V2'],11.888166322825711,Ethereum
Reserve Currency,Papa DAO,['Olympus DAO'],10.465864001782794,Avalanche
Yield,kaDefi,,10.333613499999998,Kava
Reserve Currency,Tornadao,['Olympus DAO'],10.125083152095371,Avalanche
Privacy,PrivCash,,10.0,Kava
Dexes,OctoPow Finance,['Uniswap V2'],8.946145585217423,EthereumPoW
Yield,Stipend,,8.12,Kava
Services,Astrowar Finance,,7.795897816674797,Harmony
Prediction Market,Crypto Lottery,,7.280059160331401,Multi-Chain
Yield,FTM Frens,,7.117937398440964,Fantom
Lending,EcoDeFi,['Compound'],6.793618995454729,Binance
Yield,ORIO,,6.435698480422576,Ethereum
NFT Marketplace,OCTOplace,,6.417510399999999,Multi-Chain
Yield,Sapphire Mine,,6.366492533603651,Polygon
Lending,Goldbank Finance,,6.203694,Arbitrum
Algo-Stables,Fei Protocol,,5.915078823034767,Ethereum
Reserve Currency,Paladin DAO,['Olympus DAO'],5.652780367510356,Binance
Dexes,Zircon Gamma,['Uniswap V2'],5.531205706041996,Multi-Chain
Algo-Stables,Orcus Finance,,5.405191999999999,Astar
Reserve Currency,Gaia DAO,['Olympus DAO'],4.802431032285,Avalanche
Yield,Beluga,,3.932193660960281,Multi-Chain
Yield,Beekava,,3.223416620626999,Kava
Reserve Currency,TempoDAO,['Olympus DAO'],3.120600473512336,Avalanche
Dexes,EthwSwap,['Uniswap V2'],2.874428966723108,EthereumPoW
Dexes,LanternSwap,,2.509689,Kava
Reserve Currency,Vesq,['Olympus DAO'],2.43904764611169,Polygon
CDP,mirrosset,,2.372759502893302,Kava
NFT Marketplace,pxswap,,2.090737,Kava
Dexes,GxyPad,,2.030231755,zkSync Era
Yield,Kavacave,,1.849107286600447,Kava
Prediction Market,Fliperino,,1.726081736963133,EthereumPoW
Yield,Undead Finance,,1.6933713160628452,Fantom
Staking Pool,MetaID,,1.62366,Kava
Reserve Currency,SashimiDAO,['Olympus DAO'],1.443992698959531,Avalanche
Reserve Currency,Alyx finance,['Olympus DAO'],1.280168383038529,Binance
Derivatives,GPLX,['GMX'],1.212226823410411,Pulse
Reserve Currency,Pidao Finance,['Olympus DAO'],1.158114354548173,Binance
Yield Aggregator,Vacus Finance,,1.112076321963467,Avalanche
Dexes,Phezzan Protocol,,1.046,Kava
NFT Lending,Infy Protocol,,1.041666,Multi-Chain
Yield,Monoceros,,1.00595,Kava
Launchpad,Kavastarter,,0.9038574999999991,Kava
Reserve Currency,Avalps,['Olympus DAO'],0.8383551413868731,Avalanche
Yield,BakedPotatoes,,0.777881790269999,Dogechain
Derivatives,Peaky Finance,['GMX'],0.7775727165539461,Binance
Algo-Stables,Magnet DAO,['Olympus DAO'],0.664587743881068,Avalanche
Reserve Currency,Maximizer,['Olympus DAO'],0.626635501763763,Avalanche
Yield,ArbiCheems,,0.603077947575775,Arbitrum
Dexes,sevenswap,['Uniswap V2'],0.5037336701610581,Kava
Reserve Currency,DeepSeaDAO,['Olympus DAO'],0.446334911068401,Avalanche
Reserve Currency,Nemesis DAO,['Olympus DAO'],0.44282885812583905,Binance
Services,Ysmart,,0.434399,Kava
Reserve Currency,SamoDAO,['Olympus DAO'],0.41867016078527103,Binance
Yield,Kumu Finance,,0.37111805745512605,Klaytn
Reserve Currency,Houses of Rome,['Olympus DAO'],0.348513610530834,Moonriver
Reserve Currency,Snowdog,['Olympus DAO'],0.291236962254158,Avalanche
Dexes,Kyborg Exchange,['Uniswap V3'],0.28879092940698403,Arbitrum
Lending,PaperDAO,['Compound'],0.16217459860278102,EthereumPoW
Reserve Currency,TaiChi,['Olympus DAO'],0.146797386133382,Binance
Yield Aggregator,Dinosaur.Finance,['Beefy'],0.14512531408137902,Arbitrum
Services,Manifest,['Olympus DAO'],0.12984844543763902,Ethereum
Launchpad,BCHPad,,0.0672102522,smartBCH
CDP,Cashio,,0.066523629913389,Solana
Dexes,RAIDSHIFT Marketplace,,0.060059999999999,Tron
Yield,Powerbomb Finance,,0.058871,Multi-Chain
Yield Aggregator,Cthulhu.Finance,['Reaper Farm'],0.058738660240469004,Optimism
Reserve Currency,Swing DAO,['Olympus DAO'],0.020665253060812003,Avalanche
Reserve Currency,Euphoria,['Olympus DAO'],0.017087526012825,Harmony
Dexes,Omax Swap,['Uniswap V2'],0.014084009050752001,Omax
CDP,Parasset,,0.012377573040596002,Ethereum
Yield,mStable Yield,,0.011270039398501,Ethereum
Services,Talent Protocol,,0.008316969644397001,Celo
Reserve Currency,Kronos DAO,['Olympus DAO'],0.007223468628778,Klaytn
Reserve Currency,Minotaur Money,['Olympus DAO'],0.0051653511060980005,Cronos
CDP,Real Protocol,['Liquity'],0.0038595798214350004,EthereumPoW
Dexes,Selfex,['Uniswap V2'],0.002001001138188,Kava
Dexes,Direct Exchange,['Uniswap V2'],0.002,Kava
Derivatives,JOJO,,0.0017338060557670002,Binance
Reserve Currency,InvictusDAO,['Olympus DAO'],0.001633,Solana
Reserve Currency,OneDAO Finance,['Olympus DAO'],0.0013267325390130002,Harmony
CDP,Nirvana,,0.00012200000000000001,Solana
Dexes,FunDex,['Uniswap V2'],9.179447621626275e-05,Multi-Chain
Services,Metavault DAO,,6.7e-05,Multi-Chain
Bridge,Lago Bridge,,5.1e-05,Ethereum
Reserve Currency,ValhallaDAO,['Olympus DAO'],1.7442335574168442e-05,Avalanche
Lending,Sohei,['Compound'],2.000000001854551e-06,Arbitrum
Dexes,MinerSwap,['Solidly'],1.1515894574233588e-06,EthereumPoW
Reserve Currency,Ice DAO,['Olympus DAO'],4.529e-07,Avalanche
Oracle,Nest Protocol Staking,,1.0236026240000001e-08,Multi-Chain
Reserve Currency,Dios Finance,['Olympus DAO'],6.35298379278547e-10,Binance
Reserve Currency,ZeroShift,['Olympus DAO'],1.6254071834e-11,Avalanche
Yield,Asgard Finance,,2.9746290752612e-12,Ethereum
Reserve Currency,Piggybank DAO,['Olympus DAO'],6.673047539999999e-16,Avalanche
Algo-Stables,Fantasm,,3.16124e-19,Fantom
