category,protocol_name,total_tvl,tvl_orig,tvl_forks,market_share,forks_names
Liquid Staking,Rocket Pool,1879832491.2523272,1879832491.2523272,0.0,8.709840113837814,[]
CDP,Liquity,1261864324.902213,752493400.0204875,509370924.88172567,14.316183808354596,"['Lybra Finance', 'Raft', 'Gravita Protocol', 'Vesta Finance', 'Yeti Finance', 'DeFi Franc', 'Ethos Reserve', 'FLRLoans', 'xDollar', 'PolyQuity', 'TopShelf', 'MahaDAO Arth', 'Teddy Cash', 'Fluity', 'Stabilize', 'Piggy', 'Aquarius', 'Defi Halal', 'Real Protocol']"
Dexes,Balancer V2,933979108.0873188,907597454.420269,26381653.667049773,6.390955120519094,"['PHUX', 'Reax Swaps']"
Derivatives,GMX,616614635.7529417,581365678.7559936,35248956.99694807,44.66029515758,"['QuickPerps', 'Alpaca Perpetual Futures Exchange', 'Mummy Finance', 'Metavault.Trade', 'Fulcrom', 'KTX.Finance', 'handle.fi Perps', 'Rollup Finance', 'Madmex', 'Morphex', 'El Dorado Exchange', 'Tethys Perpetual', 'Beamex', 'OPX Finance', 'ShrikePerps', 'Mycelium Perpetual Swaps', 'Gambit Financial', 'Lif3 Trade', 'DPEX', 'OMT Finance', 'SpaceDex', 'Covo V1', 'BlueSpade', 'Flux Exchange', 'Minerva', 'OmniDex Perpetuals', 'BayMax', 'Syrup Finance', 'DAMX', 'NEX', 'Voodoo Trade', 'KMex', 'GPLX', 'Peaky Finance', 'Cranium Exchange', 'Equity']"
Yield,Aura,522087462.6732075,508454117.2661814,13633345.407026116,10.944314605327989,['Wombex Finance']
Synthetics,Synthetix,508098112.6375874,508098112.6375874,0.0,70.08126432738496,[]
Yield Aggregator,Yearn Finance,441510969.4586948,430532079.8378663,10978889.620828494,36.77221877969812,"['Autofarm', 'Epsylon Finance', 'YFII', 'StoneDefi', 'Matrix Farm', 'Aladdin DAO', 'Cycle Finance', 'Mushrooms Finance', 'Unbanked']"
Dexes,Solidly,409125492.8256072,214423.80065259588,408911069.02495456,2.799530140094162,"['Velodrome', 'PearlFi', 'Chronos', 'THENA V1', 'Velocore', 'Hermes Protocol', 'Equalizer Exchange', 'Velocimeter V2', 'Ramses V1', 'Themis DEX', 'veSync', 'Solidly V2', 'Equilibre', 'SolidLizard', 'Glacier Finance', '3xcalibur', 'SoliSnek Finance', 'Flair Dex', 'Dystopia', 'Dracula Finance', 'Auragi Finance', 'Veplus', 'Archly Finance', 'MagicFox Swap', 'Solunea', 'Velocimeter V1', 'Spoon Exchange', 'Cone', 'Sterling Finance', 'Crust Finance', 'Satin Exchange', 'Hamburger Finance', 'ABcDeFX', 'Zolidly Finance', 'printyfinance', 'Spartacus Exchange', 'Tarina', 'Liquify', 'MinerSwap']"
Derivatives,dYdX,352668958.6063352,352668958.6063352,0.0,25.543181869244425,[]
Insurance,Nexus Mutual,272478982.59522,272478982.59522,0.0,80.89651083522877,[]
Yield Aggregator,Beefy,219018638.6185768,218679080.27,339558.3485767799,18.24145231541617,"['Vaporwave', 'Magik Farm', 'Lemuria Finance', 'Electrik Finance', 'YieldHub Finance', 'DefiCurrent', 'Earnifty', 'Just Yield', 'Doge Compounder', 'Dinosaur.Finance']"
Yield,Pendle,151529808.06404817,151529808.06404817,0.0,3.176459903952822,[]
Synthetics,DefiChain Loans,102332148.87125245,102332148.87125245,0.0,14.114530630722562,[]
Yield Aggregator,Origin Ether,83278120.74794954,83278120.74794954,0.0,6.936002698778271,[]
Yield Aggregator,Flamincome,64116344.80981605,64116344.80981605,0.0,5.340071757654688,[]
Derivatives,MUX Protocol,61559258.84634832,61559258.84634832,0.0,4.4586270100493115,[]
Yield Aggregator,Kava Earn,54575603.79593964,54575603.79593964,0.0,4.545450015157928,[]
Derivatives,Gains Network,52810401.73878292,52767169.39645992,43232.342323,3.8249629384233597,['MyMetaTrader']
Derivatives,ApolloX,42772757.032525614,42772757.032525614,0.0,3.0979542862187675,[]
Yield Aggregator,Idle,41072085.47458643,41072085.47458643,0.0,3.4207795893760897,[]
Yield Aggregator,Badger DAO,32394167.6,32394167.6,0.0,2.6980199826832405,[]
Yield Aggregator,Jones DAO,29731182.64611261,29731182.64611261,0.0,2.4762273838460045,[]
Options Vault,Ribbon,24840731.959156733,24657658.161372434,183073.7977842988,54.19076704802496,['Bonsai Strike']
Options,Lyra,23460865.895726144,23460865.895726144,0.0,20.035736157021965,[]
Options,Dopex,22504868.23692164,22504868.23692164,0.0,19.219307771826386,[]
